driver_id,constructor_id,race_id,race_name,season,qual_position,qual_time,sect1,sect2,sect3,speed1,speed2,speedfl
max_verstappen,red_bull,1,Bahrain Grand Prix,2021,1.0,0 days 00:01:28.997000,0 days 00:00:28.349000,0 days 00:00:38.229000,0 days 00:00:22.419000,246.0,270.0,284.0
hamilton,mercedes,1,Bahrain Grand Prix,2021,2.0,0 days 00:01:29.385000,0 days 00:00:28.372000,0 days 00:00:38.536000,0 days 00:00:22.477000,244.0,267.0,290.0
bottas,mercedes,1,Bahrain Grand Prix,2021,3.0,0 days 00:01:29.586000,0 days 00:00:28.493000,0 days 00:00:38.642000,0 days 00:00:22.451000,245.0,271.0,284.0
leclerc,ferrari,1,Bahrain Grand Prix,2021,4.0,0 days 00:01:29.678000,0 days 00:00:28.419000,0 days 00:00:38.598000,0 days 00:00:22.661000,246.0,269.0,287.0
gasly,alphatauri,1,Bahrain Grand Prix,2021,5.0,0 days 00:01:29.809000,0 days 00:00:28.585000,0 days 00:00:38.658000,0 days 00:00:22.566000,247.0,273.0,290.0
ricciardo,mclaren,1,Bahrain Grand Prix,2021,6.0,0 days 00:01:29.927000,0 days 00:00:28.568000,0 days 00:00:38.772000,0 days 00:00:22.587000,246.0,270.0,292.0
norris,mclaren,1,Bahrain Grand Prix,2021,7.0,0 days 00:01:29.974000,0 days 00:00:28.624000,0 days 00:00:38.659000,0 days 00:00:22.691000,246.0,268.0,292.0
sainz,ferrari,1,Bahrain Grand Prix,2021,8.0,0 days 00:01:30.215000,0 days 00:00:28.628000,0 days 00:00:38.679000,0 days 00:00:22.702000,245.0,269.0,286.0
alonso,alpine,1,Bahrain Grand Prix,2021,9.0,0 days 00:01:30.249000,0 days 00:00:28.747000,0 days 00:00:38.806000,0 days 00:00:22.696000,244.0,268.0,288.0
stroll,aston_martin,1,Bahrain Grand Prix,2021,10.0,0 days 00:01:30.601000,0 days 00:00:28.765000,0 days 00:00:39.016000,0 days 00:00:22.820000,244.0,264.0,282.0
