driver_id,constructor_id,race_id,race_name,season,fp1_best_time,fp2_best_time,fp3_best_time,fp1_avg_time,fp2_avg_time,fp3_avg_time
hamilton,mercedes,1,Bahrain Grand Prix,2021,0 days 00:01:31.921000,0 days 00:01:31.082000,0 days 00:01:31.316000,0 days 00:01:32.560000,0 days 00:01:31.330000,0 days 00:01:33.008750
max_verstappen,red_bull,1,Bahrain Grand Prix,2021,0 days 00:01:31.394000,0 days 00:01:30.847000,0 days 00:01:30.577000,0 days 00:01:32.381500,0 days 00:01:31.531666666,0 days 00:01:31.809666666
bottas,mercedes,1,Bahrain Grand Prix,2021,0 days 00:01:31.692000,0 days 00:01:31.218000,0 days 00:01:31.855000,0 days 00:01:32.698200,0 days 00:01:31.360500,0 days 00:01:32.434333333
norris,mclaren,1,Bahrain Grand Prix,2021,0 days 00:01:31.897000,0 days 00:01:30.942000,0 days 00:01:32.860000,0 days 00:01:33.241750,0 days 00:01:32.609666666,0 days 00:01:32.920500
perez,red_bull,1,Bahrain Grand Prix,2021,0 days 00:01:32.071000,0 days 00:01:31.503000,0 days 00:01:31.908000,0 days 00:01:32.790500,0 days 00:01:31.855333333,0 days 00:01:32.916666666
leclerc,ferrari,1,Bahrain Grand Prix,2021,0 days 00:01:31.993000,0 days 00:01:31.612000,0 days 00:01:32.482000,0 days 00:01:32.741000,0 days 00:01:33.040000,0 days 00:01:33.632750
ricciardo,mclaren,1,Bahrain Grand Prix,2021,0 days 00:01:32.434000,0 days 00:01:31.230000,0 days 00:01:32.477000,0 days 00:01:33.972750,0 days 00:01:32.630500,0 days 00:01:33.359500
sainz,ferrari,1,Bahrain Grand Prix,2021,0 days 00:01:32.366000,0 days 00:01:31.127000,0 days 00:01:32.108000,0 days 00:01:33.175750,0 days 00:01:31.962666666,0 days 00:01:33.477000
tsunoda,alphatauri,1,Bahrain Grand Prix,2021,0 days 00:01:33.329000,0 days 00:01:31.294000,0 days 00:01:32.677000,0 days 00:01:33.723000,0 days 00:01:31.937750,0 days 00:01:32.956000
stroll,aston_martin,1,Bahrain Grand Prix,2021,0 days 00:01:33.233000,0 days 00:01:31.393000,0 days 00:01:32.431000,0 days 00:01:34.092000,0 days 00:01:32.412000,0 days 00:01:33.879000
ocon,alpine,1,Bahrain Grand Prix,2021,0 days 00:01:33.528000,0 days 00:01:31.601000,0 days 00:01:32.423000,0 days 00:01:33.745000,0 days 00:01:32.700333333,0 days 00:01:33.626500
russell,williams,1,Bahrain Grand Prix,2021,0 days 00:01:34.127000,0 days 00:01:32.331000,0 days 00:01:33.323000,0 days 00:01:34.831333333,0 days 00:01:32.824333333,0 days 00:01:34.353000
gasly,alphatauri,1,Bahrain Grand Prix,2021,0 days 00:01:32.195000,0 days 00:01:31.483000,0 days 00:01:31.583000,0 days 00:01:33.117500,0 days 00:01:32.009750,0 days 00:01:32.178750
alonso,alpine,1,Bahrain Grand Prix,2021,0 days 00:01:33.872000,0 days 00:01:31.770000,0 days 00:01:32.820000,0 days 00:01:34.737333333,0 days 00:01:32.594333333,0 days 00:01:33.632666666
max_verstappen,red_bull,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.622000,0 days 00:01:16.999000,0 days 00:01:14.958000,0 days 00:01:18.037166666,0 days 00:01:18.403666666,0 days 00:01:15.701333333
hamilton,mercedes,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.605000,0 days 00:01:15.561000,0 days 00:01:15.515000,0 days 00:01:17.446800,0 days 00:01:16.573333333,0 days 00:01:16.394250
norris,mclaren,2,Emilia Romagna Grand Prix,2021,0 days 00:01:17.935000,0 days 00:01:16.485000,0 days 00:01:15.414000,0 days 00:01:18.963333333,0 days 00:01:17.020250,0 days 00:01:16.375800
leclerc,ferrari,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.796000,0 days 00:01:15.367000,0 days 00:01:15.738000,0 days 00:01:17.227666666,0 days 00:01:17.894666666,0 days 00:01:16.406000
sainz,ferrari,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.888000,0 days 00:01:15.834000,0 days 00:01:15.908000,0 days 00:01:17.955777777,0 days 00:01:16.783666666,0 days 00:01:16.551400
ricciardo,mclaren,2,Emilia Romagna Grand Prix,2021,0 days 00:01:17.769000,0 days 00:01:16.782000,0 days 00:01:16.253000,0 days 00:01:18.622833333,0 days 00:01:17.647000,0 days 00:01:16.863000
gasly,alphatauri,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.888000,0 days 00:01:15.629000,0 days 00:01:15.890000,0 days 00:01:17.786285714,0 days 00:01:17.181000,0 days 00:01:16.708571428
