race_id,race_name,season,rain_fp1,avg_airtemp_fp1,avg_tracktemp_fp1,high_windspeed_fp1,avg_windspeed_fp1,rain_fp2,avg_airtemp_fp2,avg_tracktemp_fp2,high_windspeed_fp2,avg_windspeed_fp2,rain_fp3,avg_airtemp_fp3,avg_tracktemp_fp3,high_windspeed_fp3,avg_windspeed_fp3,rain_quali,avg_airtemp_quali,avg_tracktemp_quali,high_windspeed_quali,avg_windspeed_quali,rain_race,avg_airtemp_race,avg_tracktemp_race,high_windspeed_race,avg_windspeed_race,rain_sprint,avg_airtemp_sprint,avg_tracktemp_sprint,high_windspeed_sprint,avg_windspeed_sprint
1,Bahrain Grand Prix,2021,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.162499999999998,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,0,0,0,0,0
2,Emilia Romagna Grand Prix,2021,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.600000000000001,24.4875,1.4,1.1,0,11.533333333333335,21.56666666666667,0.7,0.43333333333333335,0,13.633333333333333,26.744444444444447,0.6,0.32222222222222224,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,0,0,0,0,0
3,Portuguese Grand Prix,2021,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.587500000000002,1.4,0.6625,0,18.1625,37.275,1,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,0,0,0,0,0
4,Spanish Grand Prix,2021,0,21.85,35.525,0.6,0.35,0,20.944444444444443,41.07777777777778,0.6,0.3888888888888889,0,23.966666666666665,39.28888888888889,0.7,0.34444444444444444,0,25.11111111111111,44.78888888888889,0.7,0.5333333333333333,0,22.153846153846153,32.86153846153846,0.8,0.4461538461538461,0,0,0,0,0
5,Monaco Grand Prix,2021,0,20.2,39,0.3,0.2222222222222222,0,22.15,48.0625,0.3,0.15000000000000002,0,18.525,28.5125,0.5,0.27499999999999997,0,18.75,32.85,0.3,0.2,0,20.785714285714285,37.42857142857143,0.5,0.3071428571428571,0,0,0,0,0
6,Azerbaijan Grand Prix,2021,0,26.9125,49.1625,0.5,0.30000000000000004,0,27.4125,47.1125,0.5,0.32499999999999996,0,28.25,54.0125,0.4,0.25,0,26.139999999999997,47.69,0.5,0.31999999999999995,0,24.127777777777776,38.43888888888889,0.6,0.31666666666666665,0,0,0,0,0
7,French Grand Prix,2021,0,25.9,40.925,1.2,0.9874999999999999,0,27.337500000000002,47.3625,1.5,0.9875,0,25.4125,36.962500000000006,0.8,0.7124999999999999,0,29.23333333333333,44.02222222222222,0.7,0.3333333333333333,0,25.25384615384616,35.12307692307692,1.5,1.153846153846154,0,0,0,0,0
8,Styrian Grand Prix,2021,0,23.88888888888889,47.97777777777779,0.9,0.6888888888888889,1,21.944444444444443,43.922222222222224,1,0.7,0,22.344444444444445,48.23333333333333,0.5,0.3222222222222222,0,25.8125,54.087500000000006,0.7,0.25,0,26.683333333333334,52.275000000000006,0.8,0.39166666666666666,0,0,0,0,0
9,Austrian Grand Prix,2021,0,18.3125,31.6625,0.8,0.3375,1,19.622222222222224,31.21111111111111,0.8,0.35555555555555557,0,22.7875,47.2875,0.8,0.3375,0,25.6,51.5625,0.5,0.3125,0,20.91875,33.0375,0.8,0.33125,0,0,0,0,0
10,British Grand Prix,2021,0,25.200000000000003,45.644444444444446,0.8,0.4444444444444444,0,24.944444444444443,43.43333333333333,0.7,0.46666666666666656,0,0,0,0,0,0,25.025,39.1125,0.9,0.6625,0,29.384210526315787,50.857894736842105,0.8,0.34210526315789475,0,27.362499999999997,48.4,0.7,0.4625
